GEO_ID,DP02_0064PE!!Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,DP02_0064PM!!Percent Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree
0500000US39001,6.7,1.3
0500000US39003,10.2,0.7
0500000US39005,12.6,1.2
0500000US39007,8.5,0.6
0500000US39009,13.9,1.1
0500000US39011,11.7,0.9
0500000US39013,10.4,0.8
0500000US39015,8.6,1.3
0500000US39017,18.8,0.6
0500000US39019,7,1.1
0500000US39021,11,1
0500000US39023,11.2,0.7
0500000US39025,18.4,0.7
0500000US39027,10.9,1.1
0500000US39029,9.4,0.7
0500000US39031,8.4,1
0500000US39033,8.3,1
0500000US39035,18.2,0.2
0500000US39037,8.4,0.9
0500000US39039,10.5,1
0500000US39041,33.6,0.8
0500000US39043,13.5,1
0500000US39045,17.9,0.8
0500000US39047,11.2,1.3
0500000US39049,24.4,0.3
0500000US39051,11,1.3
0500000US39053,9,1.4
0500000US39055,24.2,1
0500000US39057,20,0.8
0500000US39059,8.7,1
0500000US39061,21.6,0.3
0500000US39063,16.6,1.1
0500000US39065,8.1,1.1
0500000US39067,6.4,1.3
0500000US39069,10.3,1.2
0500000US39071,7,0.9
0500000US39073,9.6,1.4
0500000US39075,5.1,0.8
0500000US39077,9,0.9
0500000US39079,11.5,1.7
0500000US39081,10,0.8
0500000US39083,14.7,1.4
0500000US39085,17.4,0.6
0500000US39087,8.9,1
0500000US39089,15.2,0.8
0500000US39091,10.1,1.2
0500000US39093,14.6,0.5
0500000US39095,15.5,0.5
0500000US39097,11.7,1.2
0500000US39099,14.8,0.5
0500000US39101,7.7,0.7
0500000US39103,21.4,0.7
0500000US39105,8.3,1.3
0500000US39107,10.9,1.1
0500000US39109,13.6,1
0500000US39111,6.8,1.4
0500000US39113,15.7,0.4
0500000US39115,8.4,1.5
0500000US39117,9.4,1.5
0500000US39119,9.8,0.9
0500000US39121,5.5,1.5
0500000US39123,13.3,1.1
0500000US39125,8.4,1.1
0500000US39127,8.2,1.2
0500000US39129,11.1,1.2
0500000US39131,6.9,1.2
0500000US39133,16.8,0.8
0500000US39135,9.4,1
0500000US39137,12,1.3
0500000US39139,11,0.7
0500000US39141,9.8,0.8
0500000US39143,10,0.8
0500000US39145,9.1,1
0500000US39147,9.4,0.8
0500000US39149,10.1,0.9
0500000US39151,14.5,0.5
0500000US39153,19.7,0.4
0500000US39155,12.5,0.5
0500000US39157,10.2,0.8
0500000US39159,20,1.5
0500000US39161,10.4,1.4
0500000US39163,6.2,1.4
0500000US39165,25.8,0.9
0500000US39167,12.4,0.9
0500000US39169,13.3,0.6
0500000US39171,9.4,0.9
0500000US39173,18.2,0.8
0500000US39175,10.3,1.3
